depth,heuristic,found,solution_cost,nodes_expanded,nodes_generated,runtime_seconds,effective_branching_factor
2,h2,True,2,2,5,7.958849892020226e-06,1.5615528128088303
2,h2,True,2,2,7,1.0750023648142815e-05,2.0
2,h2,True,2,2,5,7.95908272266388e-06,1.5615528128088303
2,h2,True,2,2,5,7.958151400089264e-06,1.5615528128088303
2,h2,True,2,2,5,8.041039109230042e-06,1.5615528128088303
2,h2,True,2,2,7,1.0875053703784943e-05,2.0
2,h2,True,2,2,7,1.058308407664299e-05,2.0
2,h2,True,2,2,5,7.91577622294426e-06,1.5615528128088303
2,h2,True,2,2,7,1.0875053703784943e-05,2.0
2,h2,True,2,2,5,8.041970431804657e-06,1.5615528128088303
2,h2,True,2,2,7,1.095910556614399e-05,2.0
2,h2,True,2,2,5,7.95791856944561e-06,1.5615528128088303
2,h2,True,2,2,7,1.0708114132285118e-05,2.0
2,h2,True,2,2,5,8.041970431804657e-06,1.5615528128088303
2,h2,True,2,2,7,1.0791933164000511e-05,2.0
2,h2,True,2,2,5,7.916009053587914e-06,1.5615528128088303
2,h2,True,2,2,5,7.917173206806183e-06,1.5615528128088303
2,h2,True,2,2,5,7.750000804662704e-06,1.5615528128088303
2,h2,True,2,2,5,7.834052667021751e-06,1.5615528128088303
2,h2,True,2,2,5,7.832888513803482e-06,1.5615528128088303
2,h2,True,2,2,7,1.0708114132285118e-05,2.0
2,h2,True,2,2,5,7.875030860304832e-06,1.5615528128088303
2,h2,True,2,2,5,8.00006091594696e-06,1.5615528128088303
2,h2,True,2,2,7,1.0832911357283592e-05,2.0
2,h2,True,2,2,7,1.0791001841425896e-05,2.0
2,h2,True,2,2,5,7.95791856944561e-06,1.5615528128088303
2,h2,True,2,2,7,1.091696321964264e-05,2.0
2,h2,True,2,2,5,7.916940376162529e-06,1.5615528128088303
2,h2,True,2,2,5,7.95791856944561e-06,1.5615528128088303
2,h2,True,2,2,7,1.0624993592500687e-05,2.0
2,h2,True,2,2,7,1.0750023648142815e-05,2.0
2,h2,True,2,2,5,7.916009053587914e-06,1.5615528128088303
2,h2,True,2,2,7,1.070881262421608e-05,2.0
2,h2,True,2,2,7,1.0708114132285118e-05,2.0
2,h2,True,2,2,5,7.834052667021751e-06,1.5615528128088303
2,h2,True,2,2,5,7.832888513803482e-06,1.5615528128088303
2,h2,True,2,2,7,1.0834075510501862e-05,2.0
2,h2,True,2,2,5,7.95908272266388e-06,1.5615528128088303
2,h2,True,2,2,7,1.0624993592500687e-05,2.0
2,h2,True,2,2,7,1.0666903108358383e-05,2.0
2,h2,True,2,2,7,1.0624993592500687e-05,2.0
2,h2,True,2,2,7,1.0667135939002037e-05,2.0
2,h2,True,2,2,5,7.958151400089264e-06,1.5615528128088303
2,h2,True,2,2,7,1.0791933164000511e-05,2.0
2,h2,True,2,2,5,8.00006091594696e-06,1.5615528128088303
2,h2,True,2,2,5,7.750000804662704e-06,1.5615528128088303
2,h2,True,2,2,5,7.708091288805008e-06,1.5615528128088303
2,h2,True,2,2,5,7.875030860304832e-06,1.5615528128088303
2,h2,True,2,2,7,1.0707881301641464e-05,2.0
2,h2,True,2,2,7,1.0707881301641464e-05,2.0
2,h2,True,2,2,7,1.0709045454859734e-05,2.0
2,h2,True,2,2,5,7.875030860304832e-06,1.5615528128088303
2,h2,True,2,2,5,7.875030860304832e-06,1.5615528128088303
2,h2,True,2,2,7,1.0750023648142815e-05,2.0
2,h2,True,2,2,7,1.0708114132285118e-05,2.0
2,h2,True,2,2,7,1.0750023648142815e-05,2.0
2,h2,True,2,2,7,1.0624993592500687e-05,2.0
2,h2,True,2,2,5,7.916009053587914e-06,1.5615528128088303
2,h2,True,2,2,5,7.875030860304832e-06,1.5615528128088303
2,h2,True,2,2,5,7.95908272266388e-06,1.5615528128088303
2,h2,True,2,2,5,7.833121344447136e-06,1.5615528128088303
2,h2,True,2,2,7,1.0624993592500687e-05,2.0
2,h2,True,2,2,7,1.0792165994644165e-05,2.0
2,h2,True,2,2,7,1.0707881301641464e-05,2.0
2,h2,True,2,2,7,1.0665971785783768e-05,2.0
2,h2,True,2,2,5,7.832888513803482e-06,1.5615528128088303
2,h2,True,2,2,7,1.0624993592500687e-05,2.0
2,h2,True,2,2,5,7.875030860304832e-06,1.5615528128088303
2,h2,True,2,2,5,7.832888513803482e-06,1.5615528128088303
2,h2,True,2,2,7,1.0750023648142815e-05,2.0
2,h2,True,2,2,5,8.125090971589088e-06,1.5615528128088303
2,h2,True,2,2,7,1.0667135939002037e-05,2.0
2,h2,True,2,2,5,7.916940376162529e-06,1.5615528128088303
2,h2,True,2,2,5,7.790978997945786e-06,1.5615528128088303
2,h2,True,2,2,5,7.875030860304832e-06,1.5615528128088303
2,h2,True,2,2,7,1.0707881301641464e-05,2.0
2,h2,True,2,2,5,7.916940376162529e-06,1.5615528128088303
2,h2,True,2,2,5,8.00006091594696e-06,1.5615528128088303
2,h2,True,2,2,7,1.0667135939002037e-05,2.0
2,h2,True,2,2,7,1.0667135939002037e-05,2.0
2,h2,True,2,2,7,1.0709045454859734e-05,2.0
2,h2,True,2,2,7,1.0666204616427422e-05,2.0
2,h2,True,2,2,5,8.041039109230042e-06,1.5615528128088303
2,h2,True,2,2,5,7.875030860304832e-06,1.5615528128088303
2,h2,True,2,2,5,7.833121344447136e-06,1.5615528128088303
2,h2,True,2,2,5,7.916009053587914e-06,1.5615528128088303
2,h2,True,2,2,5,7.916940376162529e-06,1.5615528128088303
2,h2,True,2,2,7,1.0707881301641464e-05,2.0
2,h2,True,2,2,7,1.2207776308059692e-05,2.0
2,h2,True,2,2,7,1.0834075510501862e-05,2.0
2,h2,True,2,2,5,8.00006091594696e-06,1.5615528128088303
2,h2,True,2,2,7,1.1041993275284767e-05,2.0
2,h2,True,2,2,5,8.125090971589088e-06,1.5615528128088303
2,h2,True,2,2,5,8.250121027231216e-06,1.5615528128088303
2,h2,True,2,2,5,8.125090971589088e-06,1.5615528128088303
2,h2,True,2,2,7,1.1041993275284767e-05,2.0
2,h2,True,2,2,7,1.0958872735500336e-05,2.0
2,h2,True,2,2,5,9.665964171290398e-06,1.5615528128088303
2,h3,True,2,2,7,4.645809531211853e-05,2.0
2,h3,True,2,2,7,3.654090687632561e-05,2.0
2,h3,True,2,2,5,2.6250025257468224e-05,1.5615528128088303
2,h3,True,2,2,7,3.6291079595685005e-05,2.0
2,h3,True,2,2,5,2.6209047064185143e-05,1.5615528128088303
2,h3,True,2,2,5,3.0499882996082306e-05,1.5615528128088303
2,h3,True,2,2,5,2.5709159672260284e-05,1.5615528128088303
2,h3,True,2,2,7,3.541703335940838e-05,2.0
2,h3,True,2,2,7,3.491598181426525e-05,2.0
2,h3,True,2,2,5,2.595805563032627e-05,1.5615528128088303
2,h3,True,2,2,7,3.591598942875862e-05,2.0
2,h3,True,2,2,5,2.5667017325758934e-05,1.5615528128088303
2,h3,True,2,2,7,3.541703335940838e-05,2.0
2,h3,True,2,2,5,2.5790883228182793e-05,1.5615528128088303
2,h3,True,2,2,7,3.537512384355068e-05,2.0
2,h3,True,2,2,5,2.5707995519042015e-05,1.5615528128088303
2,h3,True,2,2,7,3.508315421640873e-05,2.0
2,h3,True,2,2,5,2.550007775425911e-05,1.5615528128088303
2,h3,True,2,2,5,2.554105594754219e-05,1.5615528128088303
2,h3,True,2,2,5,2.7416041120886803e-05,1.5615528128088303
2,h3,True,2,2,5,2.5999965146183968e-05,1.5615528128088303
2,h3,True,2,2,5,2.5750137865543365e-05,1.5615528128088303
2,h3,True,2,2,7,3.5125063732266426e-05,2.0
2,h3,True,2,2,5,2.591591328382492e-05,1.5615528128088303
2,h3,True,2,2,5,2.550007775425911e-05,1.5615528128088303
2,h3,True,2,2,7,3.4999800845980644e-05,2.0
2,h3,True,2,2,7,3.5250093787908554e-05,2.0
2,h3,True,2,2,5,2.5667017325758934e-05,1.5615528128088303
2,h3,True,2,2,7,4.000007174909115e-05,2.0
2,h3,True,2,2,5,2.5999965146183968e-05,1.5615528128088303
2,h3,True,2,2,5,2.5999965146183968e-05,1.5615528128088303
2,h3,True,2,2,7,3.5833101719617844e-05,2.0
2,h3,True,2,2,7,3.5457778722047806e-05,2.0
2,h3,True,2,2,5,2.5790883228182793e-05,1.5615528128088303
2,h3,True,2,2,7,3.587501123547554e-05,2.0
2,h3,True,2,2,7,3.5624951124191284e-05,2.0
2,h3,True,2,2,5,2.574990503489971e-05,1.5615528128088303
